date,altitude_bin,temperature_c,rainfall_mm,snow_height_m
2022-01-02,1000-1500 m,5.425,0.0,1.07
2022-01-02,2500-3000 m,0.7767857142857143,0.0857142857142857,12.34785714285714
2022-01-02,3500-4000 m,-6.858333333333333,0.1,12.542916666666663
2022-01-03,1000-1500 m,1.6,0.3,1.04625
2022-01-03,2500-3000 m,-4.859523809523809,0.8571428571428571,12.328333333333337
2022-01-03,3500-4000 m,-12.279166666666669,0.6,12.525416666666668
2022-01-04,1000-1500 m,1.866666666666667,2.3000000000000003,1.0537500000000002
2022-01-04,2500-3000 m,-3.0755952380952385,3.7285714285714286,12.340595238095238
2022-01-04,3500-4000 m,-11.4,3.1,12.535416666666665
2022-01-05,1000-1500 m,-3.0583333333333336,9.8,1.096666666666667
2022-01-05,2500-3000 m,-11.601785714285716,13.714285714285714,12.379047619047617
2022-01-05,3500-4000 m,-19.204166666666666,14.5,12.568333333333332
2022-01-06,1000-1500 m,-6.183333333333334,0.0,1.0929166666666668
2022-01-06,2500-3000 m,-14.507142857142856,0.0,12.37875
2022-01-06,3500-4000 m,-22.395833333333332,0.0,12.564583333333331
2022-01-07,1000-1500 m,-4.9624999999999995,1.3,1.0816666666666668
2022-01-07,2500-3000 m,-12.013095238095238,2.8000000000000003,12.371547619047618
2022-01-07,3500-4000 m,-19.908333333333335,2.6,12.55625
2022-01-08,1000-1500 m,-6.2749999999999995,4.2,1.1283333333333332
2022-01-08,2500-3000 m,-14.670238095238094,6.3428571428571425,12.426785714285714
2022-01-08,3500-4000 m,-22.483333333333334,6.0,12.6
2022-01-09,1000-1500 m,-5.195833333333334,16.0,1.25
2022-01-09,2500-3000 m,-13.394642857142856,22.171428571428574,12.551607142857144
2022-01-09,3500-4000 m,-21.016666666666666,22.1,12.6925
2022-01-10,1000-1500 m,-6.116666666666667,0.8,1.3445833333333337
2022-01-10,2500-3000 m,-15.105952380952385,1.9714285714285715,12.659166666666664
2022-01-10,3500-4000 m,-22.625,2.1,12.770416666666668
2022-01-11,1000-1500 m,-4.0125,0.0,1.3225
2022-01-11,2500-3000 m,-9.776785714285714,0.0,12.630892857142856
2022-01-11,3500-4000 m,-18.258333333333333,0.0,12.750833333333333
2022-01-12,1000-1500 m,-2.4625,0.0,1.3033333333333337
2022-01-12,2500-3000 m,-6.186904761904762,0.0,12.606666666666667
2022-01-12,3500-4000 m,-15.241666666666667,0.0,12.734166666666669
2022-01-13,1000-1500 m,0.6833333333333332,0.0,1.2866666666666668
2022-01-13,2500-3000 m,-1.7273809523809525,0.0,12.587738095238096
2022-01-13,3500-4000 m,-10.770833333333334,0.0,12.72
2022-01-14,1000-1500 m,2.4541666666666666,0.0,1.27
2022-01-14,2500-3000 m,-0.4029761904761905,0.0,12.568333333333332
2022-01-14,3500-4000 m,-9.295833333333333,0.0,12.70625
2022-01-15,1000-1500 m,2.904166666666667,0.0,1.2520833333333334
2022-01-15,2500-3000 m,-0.6023809523809524,0.0,12.54815476190476
2022-01-15,3500-4000 m,-9.116666666666667,0.0,12.691666666666665
2022-01-16,1000-1500 m,-2.2333333333333334,0.0,1.2345833333333334
2022-01-16,2500-3000 m,-7.89702380952381,0.0,12.528571428571428
2022-01-16,3500-4000 m,-15.816666666666668,0.0,12.676666666666668
2022-01-17,1000-1500 m,-2.2708333333333335,0.0,1.2179166666666668
2022-01-17,2500-3000 m,-9.778571428571428,0.0,12.512738095238095
2022-01-17,3500-4000 m,-17.266666666666666,0.0,12.665833333333332
2022-01-18,1000-1500 m,0.125,0.0,1.2041666666666666
2022-01-18,2500-3000 m,-4.320833333333333,0.0,12.495654761904762
2022-01-18,3500-4000 m,-13.0375,0.0,12.653333333333334
2022-01-19,1000-1500 m,-1.7666666666666666,0.6,1.1866666666666663
2022-01-19,2500-3000 m,-6.258333333333334,0.5571428571428572,12.479166666666668
2022-01-19,3500-4000 m,-14.783333333333331,0.7,12.639583333333334
2022-01-20,1000-1500 m,-5.008333333333334,0.8,1.1991666666666665
2022-01-20,2500-3000 m,-13.354761904761904,2.8142857142857145,12.49154761904762
2022-01-20,3500-4000 m,-20.895833333333332,2.9000000000000004,12.64875
2022-01-21,1000-1500 m,-6.279166666666666,0.0,1.1941666666666666
2022-01-21,2500-3000 m,-14.98154761904762,0.4142857142857143,12.488035714285711
2022-01-21,3500-4000 m,-22.65833333333333,0.4,12.644583333333337
2022-01-22,1000-1500 m,-2.620833333333333,0.0,1.1762499999999998
2022-01-22,2500-3000 m,-11.1,0.0,12.471130952380957
2022-01-22,3500-4000 m,-18.5125,0.0,12.63125
2022-01-23,1000-1500 m,0.2249999999999999,0.0,1.1641666666666666
2022-01-23,2500-3000 m,-4.952380952380953,0.0,12.4575
2022-01-23,3500-4000 m,-13.395833333333334,0.0,12.62
2022-01-24,1000-1500 m,1.9625,0.0,1.1504166666666666
2022-01-24,2500-3000 m,-2.1035714285714286,0.0,12.443690476190474
2022-01-24,3500-4000 m,-10.675,0.0,12.61
2022-01-25,1000-1500 m,1.4041666666666668,0.0,1.1370833333333332
2022-01-25,2500-3000 m,-3.601785714285714,0.0,12.432083333333336
2022-01-25,3500-4000 m,-11.716666666666669,0.0,12.6
2022-01-26,1000-1500 m,0.9291666666666668,0.0,1.1266666666666667
2022-01-26,2500-3000 m,-5.146428571428571,0.0,12.421726190476193
2022-01-26,3500-4000 m,-13.075,0.0,12.590416666666668
2022-01-27,1000-1500 m,1.3291666666666666,0.0,1.1158333333333337
2022-01-27,2500-3000 m,-4.173214285714286,0.2285714285714286,12.410714285714285
2022-01-27,3500-4000 m,-12.2375,0.2,12.58125
2022-01-28,1000-1500 m,-1.6958333333333335,0.2,1.1079166666666669
2022-01-28,2500-3000 m,-12.198214285714286,0.2428571428571428,12.406547619047618
2022-01-28,3500-4000 m,-19.229166666666668,0.3,12.58
2022-01-29,1000-1500 m,1.2458333333333331,0.1,1.0970833333333334
2022-01-29,2500-3000 m,-7.326785714285713,0.0,12.398869047619046
2022-01-29,3500-4000 m,-14.4375,0.0,12.57
2022-01-30,1000-1500 m,1.275,0.0,1.0883333333333334
2022-01-30,2500-3000 m,-7.476190476190476,0.0,12.388869047619044
2022-01-30,3500-4000 m,-14.8125,0.0,12.561666666666667
2022-01-31,1000-1500 m,-3.1958333333333333,17.2,1.11125
2022-01-31,2500-3000 m,-11.355357142857144,28.071428571428573,12.42642857142857
2022-01-31,3500-4000 m,-18.991666666666667,27.0,12.589166666666666
2022-02-01,1000-1500 m,-8.370833333333334,25.9,1.252916666666667
2022-02-01,2500-3000 m,-17.207738095238096,38.042857142857144,12.621130952380952
2022-02-01,3500-4000 m,-25.820833333333336,35.5,12.71875
2022-02-02,1000-1500 m,-1.8041666666666665,29.5,1.4491666666666667
2022-02-02,2500-3000 m,-10.00595238095238,46.857142857142854,12.817916666666669
2022-02-02,3500-4000 m,-17.741666666666667,43.1,12.875
2022-02-03,1000-1500 m,2.4875000000000003,0.0,1.4670833333333333
2022-02-03,2500-3000 m,-3.0779761904761904,0.0,12.81958333333333
2022-02-03,3500-4000 m,-11.333333333333334,0.0,12.885
2022-02-04,1000-1500 m,1.5333333333333332,0.3,1.4229166666666666
2022-02-04,2500-3000 m,-5.4940476190476195,0.6,12.757559523809524
2022-02-04,3500-4000 m,-13.320833333333333,0.6,12.842916666666667
2022-02-05,1000-1500 m,-0.9791666666666666,0.3,1.4025
2022-02-05,2500-3000 m,-8.582738095238096,2.2285714285714286,12.73
2022-02-05,3500-4000 m,-16.5,2.5,12.82375
2022-02-06,1000-1500 m,-1.7416666666666665,10.9,1.3816666666666666
2022-02-06,2500-3000 m,-8.548809523809524,13.242857142857144,12.702619047619049
2022-02-06,3500-4000 m,-16.5625,12.7,12.805416666666666
2022-02-07,1000-1500 m,-5.383333333333333,17.2,1.5533333333333337
2022-02-07,2500-3000 m,-14.504166666666666,22.74285714285714,12.844404761904764
2022-02-07,3500-4000 m,-22.370833333333337,22.4,12.930416666666666
2022-02-08,1000-1500 m,1.2625,0.0,1.5379166666666668
2022-02-08,2500-3000 m,-6.5494047619047615,0.0,12.821190476190475
2022-02-08,3500-4000 m,-14.158333333333331,0.0,12.915833333333332
2022-02-09,1000-1500 m,6.8374999999999995,0.0,1.507083333333333
2022-02-09,2500-3000 m,2.8458333333333337,0.0,12.786666666666664
2022-02-09,3500-4000 m,-5.595833333333334,0.0,12.889583333333334
2022-02-10,1000-1500 m,2.4375,0.0,1.4808333333333332
2022-02-10,2500-3000 m,-3.331547619047619,0.0,12.757380952380952
2022-02-10,3500-4000 m,-11.279166666666669,0.0,12.868333333333332
2022-02-11,1000-1500 m,-3.483333333333333,5.4,1.507083333333333
2022-02-11,2500-3000 m,-11.307142857142855,8.128571428571428,12.777083333333334
2022-02-11,3500-4000 m,-19.0875,8.0,12.884583333333332
2022-02-12,1000-1500 m,-4.795833333333333,0.0,1.50375
2022-02-12,2500-3000 m,-10.470833333333331,0.0,12.770595238095238
2022-02-12,3500-4000 m,-19.166666666666668,0.0,12.88
2022-02-13,1000-1500 m,-5.354166666666667,0.0,1.48125
2022-02-13,2500-3000 m,-10.836904761904762,0.0,12.74654761904762
2022-02-13,3500-4000 m,-19.95,0.0,12.8625
2022-02-14,1000-1500 m,-6.8875,2.8,1.46875
2022-02-14,2500-3000 m,-12.245833333333334,2.8000000000000003,12.729166666666666
2022-02-14,3500-4000 m,-21.20416666666667,3.0,12.851666666666668
2022-02-15,1000-1500 m,-4.208333333333333,4.0,1.5225
2022-02-15,2500-3000 m,-12.554761904761904,7.471428571428571,12.773392857142856
2022-02-15,3500-4000 m,-20.2375,8.0,12.892083333333334
2022-02-16,1000-1500 m,-2.0375,13.1,1.545
2022-02-16,2500-3000 m,-8.317261904761905,18.9,12.806428571428572
2022-02-16,3500-4000 m,-16.1875,15.9,12.914583333333333
2022-02-17,1000-1500 m,2.2958333333333334,6.3,1.575416666666667
2022-02-17,2500-3000 m,-5.404761904761905,8.87142857142857,12.840595238095236
2022-02-17,3500-4000 m,-13.0,9.6,12.94375
2022-02-18,1000-1500 m,4.141666666666667,3.1,1.545
2022-02-18,2500-3000 m,-2.480952380952381,6.014285714285714,12.806607142857144
2022-02-18,3500-4000 m,-10.245833333333334,5.5,12.918333333333337
2022-02-19,1000-1500 m,-0.3083333333333333,4.4,1.5529166666666667
